Type,FileName,InnerLink
"Misc","Search","/wiki/Special:Search"
"Misc","Discuss","/f"
"Misc","Light Theme","#"
"Misc","Search","/wiki/Special:Search"
"Misc","Search","/wiki/Special:Search"
"Misc","Discuss","/f"
"Misc","Light Theme","#"
"Misc","Category:Official Media","/wiki/Category:Official_Media"
"File","File:Character Albedo Card.png","/wiki/File:Character_Albedo_Card.png"
"File","File:Character Albedo Card.png","/wiki/File:Character_Albedo_Card.png"
"File","File:Character Aloy Card.png","/wiki/File:Character_Aloy_Card.png"
"File","File:Character Aloy Card.png","/wiki/File:Character_Aloy_Card.png"
"File","File:Character Amber Card.jpg","/wiki/File:Character_Amber_Card.jpg"
"File","File:Character Amber Card.jpg","/wiki/File:Character_Amber_Card.jpg"
